iter	Passed	Remaining
0	2	246
1	4	222
2	6	220
3	8	203
4	10	206
5	12	199
6	14	196
7	16	193
8	19	195
9	21	193
10	23	191
11	25	188
12	27	186
13	29	183
14	31	180
15	33	175
16	34	170
17	36	168
18	38	163
19	39	158
20	41	154
21	42	150
22	43	146
23	44	142
24	46	138
25	47	134
26	48	130
27	49	126
28	50	123
29	51	119
30	52	115
31	52	112
32	54	110
33	55	107
34	56	104
35	57	102
36	58	99
37	59	96
38	59	93
39	60	91
40	61	88
41	62	86
42	63	84
43	64	81
44	65	79
45	66	77
46	66	75
47	68	73
48	68	71
49	69	69
50	70	68
51	71	66
52	72	64
53	73	62
54	74	60
55	75	58
56	75	57
57	76	55
58	77	54
59	78	52
60	79	50
61	80	49
62	81	47
63	82	46
64	83	44
65	84	43
66	84	41
67	85	40
68	86	38
69	87	37
70	88	36
71	89	34
72	90	33
73	91	32
74	92	30
75	93	29
76	94	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	100	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	107	11
90	108	10
91	109	9
92	110	8
93	112	7
94	113	5
95	114	4
96	116	3
97	117	2
98	118	1
99	119	0
