iter	Passed	Remaining
0	135	135476
1	137	68666
2	139	46470
3	141	35305
4	146	29122
5	148	24615
6	150	21356
7	152	18951
8	154	17047
9	156	15525
10	163	14714
11	165	13653
12	167	12732
13	169	11924
14	170	11221
15	172	10605
16	174	10083
17	175	9594
18	177	9149
19	178	8751
20	179	8381
21	180	8039
22	181	7723
23	183	7471
24	184	7204
25	186	6973
26	187	6752
27	188	6538
28	189	6345
29	190	6158
30	191	5986
31	192	5820
32	193	5667
33	194	5523
34	195	5385
35	196	5266
36	197	5141
37	198	5033
38	200	4942
39	201	4840
40	202	4745
41	204	4657
42	205	4573
43	206	4486
44	207	4402
45	208	4321
46	209	4243
47	211	4191
48	212	4125
49	213	4065
50	215	4003
51	216	3940
52	217	3881
53	219	3836
54	220	3780
55	220	3724
56	221	3670
57	222	3618
58	223	3567
59	224	3522
60	225	3477
61	226	3431
62	228	3392
63	229	3354
64	230	3314
65	231	3282
66	234	3259
67	235	3223
68	236	3186
69	237	3149
70	238	3118
71	239	3085
72	240	3051
73	241	3025
74	243	3000
75	245	2982
76	247	2961
77	248	2931
78	248	2902
79	249	2873
80	251	2848
81	252	2825
82	254	2814
83	256	2791
84	257	2774
85	258	2751
86	260	2729
87	261	2706
88	262	2684
89	263	2661
90	265	2655
91	266	2633
92	267	2611
93	268	2589
94	269	2570
95	271	2559
96	273	2542
97	274	2523
98	275	2508
99	276	2489
100	277	2473
101	279	2458
102	280	2445
103	281	2427
104	282	2409
105	285	2406
106	286	2392
107	287	2376
108	288	2361
109	289	2344
110	291	2331
111	292	2316
112	293	2303
113	295	2292
114	295	2277
115	298	2271
116	299	2257
117	300	2244
118	301	2231
119	302	2218
120	304	2208
121	305	2195
122	306	2181
123	306	2168
124	307	2155
125	308	2142
126	309	2128
127	311	2121
128	312	2110
129	313	2099
130	314	2088
131	316	2080
132	317	2068
133	318	2057
134	319	2047
135	320	2038
136	322	2030
137	323	2020
138	325	2017
139	326	2007
140	328	1998
141	329	1988
142	330	1979
143	331	1969
144	332	1959
145	333	1950
146	334	1941
147	335	1933
148	336	1923
149	338	1916
150	339	1908
151	340	1900
152	342	1897
153	345	1897
154	346	1888
155	347	1879
156	348	1871
157	349	1862
158	350	1854
159	352	1848
160	352	1839
161	353	1831
162	355	1825
163	356	1819
164	358	1812
165	359	1805
166	360	1799
167	362	1796
168	364	1790
169	365	1782
170	366	1778
171	368	1774
172	371	1775
173	372	1768
174	373	1760
175	374	1754
176	375	1747
177	376	1740
